,role,buy,round,sell,time
506,hearts,29,18.0,26,2024-02-22 18:34:50
507,hearts,27,18.0,23,2024-02-22 18:34:52
508,hearts,25,18.0,21,2024-02-22 18:34:54
509,hearts,23,18.0,19,2024-02-22 18:34:56
510,hearts,23,18.0,19,2024-02-22 18:35:01
511,hearts,25,18.0,21,2024-02-22 18:36:03
512,hearts,23,18.0,19,2024-02-22 18:36:07
513,hearts,21,18.0,17,2024-02-22 18:36:09
514,hearts,19,18.0,15,2024-02-22 18:36:11
515,hearts,18,19.0,14,2024-02-22 18:36:31
516,hearts,20,20.0,16,2024-02-22 18:39:05
517,hearts,21,20.0,17,2024-02-22 18:39:07
518,hearts,23,21.0,19,2024-02-22 18:39:32
519,hearts,25,21.0,21,2024-02-22 18:39:37
520,hearts,27,21.0,23,2024-02-22 18:39:39
521,hearts,30,21.0,26,2024-02-22 18:39:41
522,hearts,34,21.0,31,2024-02-22 18:39:45
523,hearts,36,21.0,32,2024-02-22 18:39:49
524,hearts,36,21.0,33,2024-02-22 18:39:50
525,hearts,39,21.0,36,2024-02-22 18:39:55
526,hearts,41,21.0,37,2024-02-22 18:39:57
527,hearts,43,21.0,39,2024-02-22 18:39:59
528,hearts,45,21.0,41,2024-02-22 18:40:03
529,hearts,44,21.0,40,2024-02-22 18:40:09
530,hearts,42,21.0,38,2024-02-22 18:40:11
531,hearts,40,21.0,36,2024-02-22 18:40:13
532,hearts,38,21.0,34,2024-02-22 18:40:15
533,hearts,36,21.0,32,2024-02-22 18:40:18
534,hearts,34,21.0,30,2024-02-22 18:40:20
535,hearts,32,21.0,28,2024-02-22 18:40:23
536,hearts,30,21.0,26,2024-02-22 18:40:26
537,hearts,28,21.0,24,2024-02-22 18:40:28
538,hearts,26,21.0,22,2024-02-22 18:40:30
539,hearts,27,21.0,23,2024-02-22 18:40:33
540,hearts,28,22.0,24,2024-02-22 18:41:04
541,hearts,30,22.0,26,2024-02-22 18:41:06
542,hearts,32,22.0,28,2024-02-22 18:41:09
543,hearts,33,23.0,29,2024-02-22 18:43:03
544,hearts,34,23.0,30,2024-02-22 18:43:05
545,hearts,35,23.0,31,2024-02-22 18:43:07
546,hearts,36,23.0,32,2024-02-22 18:43:08
547,hearts,35,23.0,31,2024-02-22 18:43:29
548,hearts,34,23.0,30,2024-02-22 18:43:31
549,hearts,33,23.0,29,2024-02-22 18:43:33
550,hearts,32,23.0,28,2024-02-22 18:43:41
551,hearts,30,23.0,26,2024-02-22 18:43:45
552,hearts,28,23.0,24,2024-02-22 18:43:54
553,hearts,29,24.0,25,2024-02-22 18:44:27
554,hearts,31,24.0,27,2024-02-22 18:44:28
555,hearts,33,25.0,29,2024-02-22 18:45:41
556,hearts,35,25.0,31,2024-02-22 18:45:42
557,hearts,36,25.0,32,2024-02-22 18:47:05
558,hearts,37,25.0,33,2024-02-22 18:47:07
559,hearts,38,25.0,34,2024-02-22 18:47:09
560,hearts,39,25.0,35,2024-02-22 18:47:11
561,hearts,40,25.0,36,2024-02-22 18:47:14
562,hearts,41,25.0,37,2024-02-22 18:47:16
563,hearts,43,25.0,39,2024-02-22 18:47:19
564,hearts,43,25.0,40,2024-02-22 18:47:23
565,hearts,44,25.0,40,2024-02-22 18:47:25
566,hearts,45,25.0,41,2024-02-22 18:47:27
567,hearts,44,25.0,40,2024-02-22 18:47:53
568,hearts,42,25.0,38,2024-02-22 18:47:55
569,hearts,39,25.0,35,2024-02-22 18:47:57
570,hearts,41,25.0,37,2024-02-22 18:48:00
571,hearts,43,26.0,39,2024-02-22 18:48:29
572,hearts,45,26.0,41,2024-02-22 18:48:31
573,hearts,48,26.0,45,2024-02-22 18:48:33
574,hearts,49,26.0,47,2024-02-22 18:48:36
575,hearts,49,26.0,47,2024-02-22 18:48:41
576,hearts,51,26.0,49,2024-02-22 18:48:44
577,hearts,53,26.0,51,2024-02-22 18:48:48
578,hearts,55,26.0,53,2024-02-22 18:48:49
579,hearts,57,26.0,55,2024-02-22 18:48:53
580,hearts,59,26.0,57,2024-02-22 18:49:07
581,hearts,61,26.0,59,2024-02-22 18:49:10
582,hearts,61,26.0,60,2024-02-22 18:49:13
583,hearts,62,26.0,60,2024-02-22 18:49:15
584,hearts,65,26.0,62,2024-02-22 18:49:20
585,hearts,63,26.0,60,2024-02-22 18:49:32
586,hearts,61,26.0,58,2024-02-22 18:49:34
587,hearts,59,26.0,56,2024-02-22 18:49:36
588,hearts,57,26.0,54,2024-02-22 18:49:38
589,hearts,58,27.0,55,2024-02-22 18:50:27
590,hearts,60,27.0,57,2024-02-22 18:50:29
591,hearts,61,27.0,58,2024-02-22 18:50:33
592,hearts,62,27.0,59,2024-02-22 18:50:36
593,hearts,60,28.0,57,2024-02-22 18:51:25
594,hearts,57,28.0,54,2024-02-22 18:51:27
595,hearts,55,28.0,52,2024-02-22 18:51:31
596,hearts,53,28.0,50,2024-02-22 18:51:33
597,hearts,52,28.0,48,2024-02-22 18:51:36
598,hearts,50,29.0,46,2024-02-22 18:52:53
599,hearts,46,29.0,42,2024-02-22 18:52:57
600,hearts,43,29.0,39,2024-02-22 18:53:00
601,hearts,41,29.0,37,2024-02-22 18:53:02
602,hearts,42,29.0,38,2024-02-22 18:53:04
603,hearts,38,29.0,34,2024-02-22 18:53:09
604,hearts,40,29.0,36,2024-02-22 18:53:32
605,hearts,42,29.0,38,2024-02-22 18:53:34
606,hearts,44,29.0,40,2024-02-22 18:53:42
607,hearts,46,29.0,42,2024-02-22 18:53:44
608,hearts,48,29.0,44,2024-02-22 18:53:46
609,hearts,50,29.0,46,2024-02-22 18:53:48
610,hearts,52,29.0,48,2024-02-22 18:53:50
611,hearts,54,29.0,50,2024-02-22 18:53:52
612,hearts,56,29.0,52,2024-02-22 18:53:56
613,hearts,53,30.0,49,2024-02-22 18:54:29
614,hearts,51,30.0,49,2024-02-22 18:54:32
615,hearts,53,30.0,50,2024-02-22 18:55:07
616,hearts,54,30.0,50,2024-02-22 18:55:09
617,hearts,55,30.0,51,2024-02-22 18:55:11
618,hearts,56,30.0,52,2024-02-22 18:55:13
619,hearts,58,30.0,54,2024-02-22 18:55:23
620,hearts,60,30.0,56,2024-02-22 18:55:25
621,hearts,61,30.0,57,2024-02-22 18:55:38
622,hearts,31,31.0,30,2024-02-22 18:55:57
623,hearts,33,31.0,32,2024-02-22 18:56:25
624,hearts,35,31.0,33,2024-02-22 18:56:28
625,hearts,37,31.0,35,2024-02-22 18:56:31
626,hearts,40,31.0,37,2024-02-22 18:56:33
627,hearts,41,31.0,38,2024-02-22 18:56:37
628,hearts,42,31.0,39,2024-02-22 18:56:41
629,hearts,051,32.0,49,2024-02-22 18:57:30
630,hearts,51,32.0,49,2024-02-22 18:57:33
631,hearts,52,32.0,50,2024-02-22 18:57:56
632,hearts,51,32.0,49,2024-02-22 18:58:26
633,hearts,50,32.0,48,2024-02-22 18:58:37
634,hearts,49,32.0,47,2024-02-22 18:58:39
635,hearts,48,32.0,46,2024-02-22 18:58:41
636,hearts,47,32.0,45,2024-02-22 18:58:48
637,hearts,46,32.0,44,2024-02-22 18:58:49
638,hearts,46,32.0,43,2024-02-22 18:58:54
639,clubs,022,1.0,20,2024-02-22 18:08:39
640,clubs,025,1.0,22,2024-02-22 18:09:41
641,clubs,020,1.0,17,2024-02-22 18:09:52
642,clubs,025,2.0,022,2024-02-22 18:10:34
643,clubs,028,3.0,025,2024-02-22 18:11:40
644,clubs,026,3.0,024,2024-02-22 18:12:03
645,clubs,024,3.0,021,2024-02-22 18:12:17
646,clubs,026,4.0,022,2024-02-22 18:13:09
647,clubs,027,5.0,25,2024-02-22 18:14:41
648,clubs,025,5.0,23,2024-02-22 18:14:52
649,clubs,027,5.0,25,2024-02-22 18:15:38
650,clubs,25,6.0,021,2024-02-22 18:16:57
651,clubs,020,7.0,016,2024-02-22 18:17:44
652,clubs,022,7.0,20,2024-02-22 18:18:17
653,clubs,018,8.0,015,2024-02-22 18:19:16
654,clubs,20,8.0,16,2024-02-22 18:19:39
655,clubs,21,9.0,17,2024-02-22 18:21:09
656,clubs,21,9.0,17,2024-02-22 18:21:10
657,clubs,19,9.0,15,2024-02-22 18:21:23
658,clubs,18,9.0,14,2024-02-22 18:21:37
659,clubs,20,9.0,16,2024-02-22 18:22:01
660,clubs,17,10.0,15,2024-02-22 18:22:18
661,clubs,17,10.0,14,2024-02-22 18:22:37
662,clubs,19,10.0,16,2024-02-22 18:23:01
663,clubs,20,10.0,18,2024-02-22 18:23:17
664,clubs,20,10.0,18,2024-02-22 18:23:38
665,clubs,17,11.0,15,2024-02-22 18:24:01
666,clubs,14,11.0,13,2024-02-22 18:25:01
667,clubs,15,11.0,13,2024-02-22 18:25:03
668,clubs,17,12.0,16,2024-02-22 18:25:42
669,clubs,18,12.0,16,2024-02-22 18:25:44
670,clubs,15,12.0,13,2024-02-22 18:25:49
671,clubs,17,12.0,15,2024-02-22 18:26:51
672,clubs,16,13.0,15,2024-02-22 18:27:25
673,clubs,18,13.0,17,2024-02-22 18:27:38
674,clubs,20,13.0,17,2024-02-22 18:27:39
675,clubs,18,14.0,15,2024-02-22 18:29:39
676,clubs,16,14.0,13,2024-02-22 18:29:43
677,clubs,20,15.0,17,2024-02-22 18:30:43
678,clubs,22,15.0,18,2024-02-22 18:30:46
679,clubs,15,16.0,12,2024-02-22 18:31:45
680,clubs,12,16.0,9,2024-02-22 18:31:57
681,clubs,11,16.0,8,2024-02-22 18:32:19
682,clubs,11,16.0,7,2024-02-22 18:32:21
683,clubs,9,16.0,5,2024-02-22 18:32:28
684,clubs,10,17.0,7,2024-02-22 18:33:29
685,clubs,12,17.0,9,2024-02-22 18:33:32
686,clubs,14,17.0,11,2024-02-22 18:33:38
687,clubs,17,17.0,13,2024-02-22 18:33:41
688,clubs,20,17.0,17,2024-02-22 18:33:46
689,clubs,17,17.0,14,2024-02-22 18:34:19
690,clubs,15,19.0,13,2024-02-22 18:36:58
691,clubs,14,19.0,12,2024-02-22 18:37:01
692,clubs,16,19.0,14,2024-02-22 18:37:19
693,clubs,12,21.0,10,2024-02-22 18:39:25
694,clubs,15,22.0,13,2024-02-22 18:41:20
695,clubs,12,23.0,10,2024-02-22 18:42:25
696,clubs,8,23.0,7,2024-02-22 18:42:29
697,clubs,6,23.0,5,2024-02-22 18:42:35
698,clubs,6,23.0,3,2024-02-22 18:42:39
699,clubs,4,23.0,3,2024-02-22 18:42:40
700,clubs,6,24.0,5,2024-02-22 18:44:35
701,clubs,9,24.0,5,2024-02-22 18:44:37
702,clubs,02,26.0,00,2024-02-22 18:48:19
