,role,buy,round,sell,time
113,diamonds,25,17.0,21,2024-02-22 18:33:51
114,diamonds,26,18.0,22,2024-02-22 18:34:53
115,diamonds,28,18.0,24,2024-02-22 18:34:58
116,diamonds,29,18.0,25,2024-02-22 18:35:01
117,diamonds,31,18.0,27,2024-02-22 18:35:05
118,diamonds,32,18.0,28,2024-02-22 18:35:09
119,diamonds,33,18.0,29,2024-02-22 18:35:15
120,diamonds,32,18.0,28,2024-02-22 18:35:18
121,diamonds,31,18.0,27,2024-02-22 18:35:31
122,diamonds,30,18.0,26,2024-02-22 18:35:34
123,diamonds,29,18.0,25,2024-02-22 18:35:36
124,diamonds,26,18.0,22,2024-02-22 18:36:07
125,diamonds,28,19.0,24,2024-02-22 18:36:21
126,diamonds,29,19.0,25,2024-02-22 18:36:33
127,diamonds,28,19.0,24,2024-02-22 18:37:05
128,diamonds,27,19.0,23,2024-02-22 18:37:12
129,diamonds,26,19.0,22,2024-02-22 18:37:42
130,diamonds,28,20.0,24,2024-02-22 18:37:51
131,diamonds,29,20.0,25,2024-02-22 18:37:57
132,diamonds,30,20.0,26,2024-02-22 18:38:02
133,diamonds,32,20.0,28,2024-02-22 18:38:06
134,diamonds,33,20.0,29,2024-02-22 18:38:11
135,diamonds,31,20.0,27,2024-02-22 18:38:44
136,diamonds,30,20.0,26,2024-02-22 18:38:47
137,diamonds,29,20.0,25,2024-02-22 18:38:48
138,diamonds,28,20.0,24,2024-02-22 18:38:51
139,diamonds,26,21.0,22,2024-02-22 18:39:26
140,diamonds,25,21.0,21,2024-02-22 18:39:29
141,diamonds,23,21.0,19,2024-02-22 18:39:37
142,diamonds,22,21.0,18,2024-02-22 18:39:44
143,diamonds,21,21.0,17,2024-02-22 18:39:51
144,diamonds,20,21.0,16,2024-02-22 18:39:58
145,diamonds,19,21.0,15,2024-02-22 18:40:32
146,diamonds,20,21.0,16,2024-02-22 18:40:43
147,diamonds,19,22.0,15,2024-02-22 18:40:53
148,diamonds,18,22.0,14,2024-02-22 18:40:55
149,diamonds,17,22.0,13,2024-02-22 18:41:04
150,diamonds,16,22.0,12,2024-02-22 18:41:11
151,diamonds,17,22.0,13,2024-02-22 18:41:28
152,diamonds,17,22.0,13,2024-02-22 18:41:35
153,diamonds,18,22.0,14,2024-02-22 18:41:47
154,diamonds,19,22.0,15,2024-02-22 18:41:48
155,diamonds,21,22.0,17,2024-02-22 18:41:53
156,diamonds,25,22.0,21,2024-02-22 18:42:01
157,diamonds,24,22.0,20,2024-02-22 18:42:21
158,diamonds,23,23.0,19,2024-02-22 18:42:57
159,diamonds,20,24.0,16,2024-02-22 18:44:01
160,diamonds,19,24.0,15,2024-02-22 18:44:05
161,diamonds,18,24.0,14,2024-02-22 18:44:43
162,diamonds,20,25.0,16,2024-02-22 18:47:17
163,diamonds,22,25.0,18,2024-02-22 18:47:26
164,diamonds,22,26.0,20,2024-02-22 18:48:24
165,diamonds,24,26.0,20,2024-02-22 18:48:42
166,diamonds,24,26.0,20,2024-02-22 18:49:15
167,diamonds,25,27.0,21,2024-02-22 18:49:52
168,diamonds,28,27.0,24,2024-02-22 18:50:03
169,diamonds,32,27.0,29,2024-02-22 18:50:07
170,diamonds,36,27.0,32,2024-02-22 18:50:11
171,diamonds,40,27.0,36,2024-02-22 18:50:15
172,diamonds,41,27.0,38,2024-02-22 18:50:26
173,diamonds,40,27.0,36,2024-02-22 18:50:33
174,diamonds,40,27.0,37,2024-02-22 18:50:39
175,diamonds,40,27.0,38,2024-02-22 18:50:44
176,diamonds,40,27.0,37,2024-02-22 18:50:45
177,diamonds,40,27.0,36,2024-02-22 18:50:47
178,diamonds,39,27.0,35,2024-02-22 18:50:50
179,diamonds,37,27.0,33,2024-02-22 18:50:53
180,diamonds,36,27.0,32,2024-02-22 18:51:12
181,diamonds,37,28.0,33,2024-02-22 18:51:18
182,diamonds,40,28.0,36,2024-02-22 18:51:22
183,diamonds,42,28.0,38,2024-02-22 18:51:26
184,diamonds,44,28.0,40,2024-02-22 18:51:35
185,diamonds,43,28.0,39,2024-02-22 18:51:48
186,diamonds,42,28.0,38,2024-02-22 18:51:51
187,diamonds,42,28.0,38,2024-02-22 18:51:52
188,diamonds,41,28.0,37,2024-02-22 18:51:57
189,diamonds,40,28.0,36,2024-02-22 18:52:01
190,diamonds,40,28.0,36,2024-02-22 18:52:02
191,diamonds,38,28.0,34,2024-02-22 18:52:09
192,diamonds,37,28.0,33,2024-02-22 18:52:20
193,diamonds,36,28.0,32,2024-02-22 18:52:23
194,diamonds,37,29.0,33,2024-02-22 18:52:51
195,diamonds,40,29.0,36,2024-02-22 18:53:01
196,diamonds,38,29.0,36,2024-02-22 18:53:13
197,diamonds,38,29.0,34,2024-02-22 18:53:17
198,diamonds,40,29.0,36,2024-02-22 18:53:30
199,diamonds,40,29.0,37,2024-02-22 18:53:33
200,diamonds,41,29.0,37,2024-02-22 18:53:36
201,diamonds,43,29.0,40,2024-02-22 18:53:39
202,diamonds,44,29.0,40,2024-02-22 18:53:42
203,diamonds,46,29.0,42,2024-02-22 18:53:46
204,diamonds,52,29.0,48,2024-02-22 18:53:51
205,diamonds,58,29.0,54,2024-02-22 18:53:55
206,diamonds,61,29.0,59,2024-02-22 18:54:02
207,diamonds,62,29.0,59,2024-02-22 18:54:07
208,diamonds,61,29.0,58,2024-02-22 18:54:10
209,diamonds,62,30.0,58,2024-02-22 18:54:32
210,diamonds,61,30.0,57,2024-02-22 18:54:36
211,diamonds,59,30.0,55,2024-02-22 18:54:44
212,diamonds,58,30.0,55,2024-02-22 18:54:46
213,diamonds,54,30.0,50,2024-02-22 18:54:54
214,diamonds,53,30.0,50,2024-02-22 18:55:08
215,diamonds,54,30.0,50,2024-02-22 18:55:10
216,diamonds,54,30.0,50,2024-02-22 18:55:37
217,diamonds,56,31.0,52,2024-02-22 18:55:54
218,diamonds,58,31.0,54,2024-02-22 18:55:58
219,diamonds,59,31.0,55,2024-02-22 18:56:17
220,diamonds,60,31.0,56,2024-02-22 18:56:23
221,diamonds,62,31.0,58,2024-02-22 18:56:31
222,diamonds,59,31.0,58,2024-02-22 18:56:36
223,diamonds,60,31.0,58,2024-02-22 18:56:37
224,diamonds,61,31.0,59,2024-02-22 18:57:07
225,diamonds,62,31.0,60,2024-02-22 18:57:09
226,diamonds,62,31.0,61,2024-02-22 18:57:12
227,diamonds,63,31.0,61,2024-02-22 18:57:14
228,diamonds,42,32.0,39,2024-02-22 18:57:29
229,diamonds,51,32.0,49,2024-02-22 18:57:36
230,diamonds,52,32.0,50,2024-02-22 18:58:06
231,diamonds,51,32.0,49,2024-02-22 18:58:09
232,diamonds,49,32.0,48,2024-02-22 18:58:43
233,spades,32,1.0,29,2024-02-22 18:08:46
234,spades,32,1.0,28,2024-02-22 18:09:14
235,spades,32,1.0,28,2024-02-22 18:09:17
